请问您的性别是？,您所在的城市属于哪个省（直辖市/自治区/特区）？,请问您的出生年代是？,请问您的学历是？,请问您是否有海外留学经历？（以学习为目的，在国外停留超过1个月）,请问未来1-3年内，您是否有留学或继续深造计划？（多选）,您是否考虑线上教学的方式继续深造？,请问您属于以下哪种身份？,请问您所从事的行业是？,请问您在单位的岗位职能是？,关于汽车，请问以下哪个描述符合您的情况？,请问您拥有什么类型的汽车？,请问您购买的车型品牌是？,请问您购买汽车的价格是在什么范围？（如果拥有多辆车，请以价格最高的一辆车为准）,请问您未来1年内是否有购置汽车的计划？,请问您对新能源纯电动汽车的尝试意愿如何？,请问您更愿意尝试以下哪个品牌的新能源纯电动汽车？,请问您和您家人每年旅行消费支出是（排除疫情年度影响）？,请问您常规每年开展几次出境游（排除疫情年度影响，个人+商务旅行）,请问在订购机票时，您一般选择什么舱位？,请问您在选择酒店时，通常预定什么等级的酒店？（最多选择两项）,请问您在选择酒店时，通常每个房间每晚消费多少？,请问您购买过哪些品类的奢侈品？（多选）,请问您购买奢侈品的主要用途是？（多选）,请问您拥有几块机械腕表类的奢侈品?,请问您拥有几件珠宝类的奢侈品?,请问您拥有几件包/鞋/服饰类的奢侈品？,请问您购买奢侈品时的考虑因素有哪些？（多选）,请问您对以下哪些品牌的腕表感兴趣？（多选）,请问您拥有何种品牌的机械腕表？（如有多块儿腕表，请多选）,请问您购买这块机械腕表的花费是多少？（若您有多块机械腕表，则填写最贵的那块机械腕表价格）,请问您未来是否会考虑购买机械腕表，计划在多长时间内购买机械腕表？,请问您计划花多少钱来购买机械腕表？,请问您用过哪些彩妆及肤护品？或者您购买过哪些送人？（多选）,请问您或您的家庭在未来1年内计划购买以下哪些电子产品？（多选）,请问您新购/更换手机的频率是？,请问您在购买手机时，主要考虑因素有哪些？（多选）,请问您的婚姻状况是？,请问您目前的家庭情况是？,请问您的子女处在哪个人生阶段？(如您有2个及以上孩子请多选),请问您是否有宠物？,请问您每个月在宠物身上的平均花费是多少？,请问您过去一年的个人平均月收入范围是？（包括固定工资，奖金，福利，金融产品收益，资产收益等所有收入的总和）,请问过去一年您的家庭平均税前月收入范围是？（如未婚则仅包含个人；包括固定工资，奖金，福利，金融产品收益，资产收益等所有收入的总和）,请问过去一年您消费占比最高的三项是？,在闲暇时，您主要的消遣方式有哪些？（多选）,请问您平均每月网购次数？,请问您平均每月网购总金额范围？,请问您在消费时更看重以下哪点？,请问您经常使用的网购平台是？（多选）,请问您在消费时，是否容易受到他人影响？,设备,作答时长
女,辽宁,70后（70-79年出生）,大学本科,否,"[""在国内接受职业技能培训或考取职业资格证""]",是,企业中层管理人员,电商/零售/贸易,商品,有2辆及以上汽车,"[""普通轿车（两厢、三厢）"",""SUV（比如途观、奔驰GLK等）""]","[""大众"",""其他国产品牌""]",20万元以下,,不愿意尝试,,"10,000元及以下",很少,经济舱,"[""经济型/快捷型连锁"",""民宿/公寓""]",800元以下/晚,"[""none""]",,,,,,"[""浪琴LONGINES"",""百达翡丽PATEK PHILIPPE"",""江诗丹顿VACHERON CONSTANTIN"",""劳力士ROLEX"",""卡地亚CARTIER""]",,,不确定,,"[""雅诗兰黛Estee Lauder"",""娇韵诗"",""迪奥Dior"",""植村秀"",""SK-II"",""欧莱雅"",""莱珀妮La Prairie"",""资生堂"",""肌肤之钥CPB"",""赫莲娜HR"",""兰蔻Lancome"",""纪梵希Givenchy""]","[""other"",""不买""]",平均3年以上购买1部手机,"[""品牌"",""性能/配置"",""操作系统"",""价格"",""售后服务""]",已婚,有一个孩子,"[""高中""]",猫,"1,000元以下","10,000元以下","20,000元以下","[""餐饮消费"",""汽车相关消费（私家车）"",""智能产品消费、电子产品消费""]","[""郊游/周边游"",""电影、连续剧"",""读书"",""玩游戏"",""朋友聚会、咖啡吧、酒吧、live house等""]",10次以上,"3,000元以下",性价比高,"[""拼多多"",""抖音快手"",""淘宝/天猫""]",是,iOS,449
男,江西,00后（2000年以后出生）,高中及以下,否,"[""none""]",是,企业中层管理人员,房地产/建筑业,战略/企划,有1辆汽车,"[""SUV（比如途观、奔驰GLK等）""]","[""其他日韩品牌""]",20-50万元,,比较愿意尝试,比亚迪,"10,001-30,000元",很少,经济舱,"[""三星级/舒适型""]",800元以下/晚,"[""珠宝"",""机械腕表"",""鞋"",""服饰""]","[""自用""]",1块,2件,5件以上,"[""品牌"",""质量"",""朋友推荐"",""定制/限量"",""实用""]","[""欧米茄OMEGA"",""劳力士ROLEX"",""积家JAEGER-LECOULTRE"",""万国IWC"",""宝格丽BVLGARI"",""江诗丹顿VACHERON CONSTANTIN"",""帝舵TUDOR"",""梵克雅宝VANCLEEF&ARPELS"",""天梭TISSOT""]","[""天梭TISSOT""]",1万元以下,1-2年,1万-3万元,"[""欧莱雅"",""兰蔻Lancome"",""资生堂"",""SK-II""]","[""手机"",""智能设备（智能可穿戴设备、智能机器人、智能家居等）"",""电脑整机（笔记本、一体机、平板电脑等）"",""游戏机"",""学习设备""]",平均1-2年购买1部手机,"[""品牌"",""性能/配置"",""外观/造型"",""操作系统"",""质量/耐用"",""价格"",""口碑"",""功能"",""售后服务""]",未婚,,,无,,"10,001-30,000元",,"[""汽车相关消费（私家车）"",""智能产品消费、电子产品消费"",""学习消费""]","[""电影、连续剧"",""兴趣养成或技能提升类的活动/课程"",""朋友聚会、咖啡吧、酒吧、live house等"",""话剧、戏剧、脱口秀等"",""看展、逛市集"",""玩游戏"",""读书""]",基本不网购,"3,000元以下",质量品质,"[""得物"",""淘宝/天猫""]",是,iOS,402
男,上海,85后（85-89年出生）,大学专科,否,"[""在国内接受职业技能培训或考取职业资格证""]",否,企业中层管理人员,房地产/建筑业,设计,没有汽车,,,,暂时无购车计划,不愿意尝试,,"10,001-30,000元",很少,经济舱,"[""经济型/快捷型连锁""]",800元以下/晚,"[""none""]",,,,,,"[""天梭TISSOT""]",,,不打算购买,,"[""none""]","[""手机"",""摄影摄像（数码相机、单反相机、摄像机等）"",""智能设备（智能可穿戴设备、智能机器人、智能家居等）"",""电脑整机（笔记本、一体机、平板电脑等）"",""游戏机""]",平均1-2年购买1部手机,"[""性能/配置"",""外观/造型"",""操作系统""]",已婚,无子女,,猫,"1,000元以下","10,001-30,000元","20,001-50,000元","[""智能产品消费、电子产品消费"",""日用品消费"",""娱乐消费""]","[""郊游/周边游"",""健身、各类运动""]",10次以上,"3,000～5,000元",质量品质,"[""京东"",""淘宝/天猫""]",否,iOS,281
女,广东,95后（95-99年出生）,大学本科,是,"[""none""]",否,企业职员,食品/餐饮,市场/营销,没有汽车,,,,会增购或新购（增购即保留现有车辆再购买一辆）,不愿意尝试,,"30,001-50,000元",很少,经济舱,"[""四星级/高档型""]",800元以下/晚,"[""none""]",,,,,,"[""欧米茄OMEGA""]",,,不打算购买,,"[""雅诗兰黛Estee Lauder"",""兰蔻Lancome"",""纪梵希Givenchy"",""资生堂""]","[""电脑整机（笔记本、一体机、平板电脑等）""]",平均2-3年购买1部手机,"[""品牌"",""性能/配置"",""外观/造型"",""操作系统""]",未婚,,,无,,"10,000元以下",,"[""日用品消费"",""旅游消费"",""娱乐消费""]","[""郊游/周边游"",""逛商场、购物"",""朋友聚会、咖啡吧、酒吧、live house等""]",1-5次,"3,000元以下",外观颜值,"[""小红书"",""淘宝/天猫""]",是,iOS,260
男,江西,00后（2000年以后出生）,大学本科,否,"[""在国内申请研究生""]",是,学生,,,没有汽车,,,,暂时无购车计划,非常愿意尝试,比亚迪,"10,000元及以下",很少,经济舱,"[""三星级/舒适型""]",800元以下/晚,"[""鞋""]","[""自用""]",,,2件,"[""质量"",""实用"",""款式/颜色""]","[""江诗丹顿VACHERON CONSTANTIN"",""欧米茄OMEGA"",""浪琴LONGINES"",""香奈儿CHANEL""]","[""香奈儿CHANEL""]",,不确定,,"[""none""]","[""手机"",""智能设备（智能可穿戴设备、智能机器人、智能家居等）"",""电脑整机（笔记本、一体机、平板电脑等）"",""学习设备""]",平均3年以上购买1部手机,"[""品牌"",""性能/配置"",""操作系统"",""质量/耐用"",""价格"",""功能"",""口碑""]",未婚,,,无,,,,"[""智能产品消费、电子产品消费"",""学习消费"",""兴趣消费""]","[""电影、连续剧"",""兴趣养成或技能提升类的活动/课程"",""读书""]",1-5次,"3,000元以下",质量品质,"[""淘宝/天猫"",""京东""]",是,iOS,457
男,广东,85后（85-89年出生）,大学专科,否,"[""在国内接受职业技能培训或考取职业资格证""]",否,企业职员,健康/医疗服务,技术/研发,没有汽车,,,,会增购或新购（增购即保留现有车辆再购买一辆）,比较愿意尝试,比亚迪,"10,000元及以下",1-2次,经济舱,"[""四星级/高档型""]",800元以下/晚,"[""鞋"",""服饰""]","[""自用""]",,,1件,"[""折扣/优惠"",""品牌""]","[""天梭TISSOT"",""香奈儿CHANEL""]","[""天梭TISSOT"",""香奈儿CHANEL""]",,3年以上,1万元以下,"[""欧莱雅"",""资生堂"",""香奈儿CHANEL""]","[""手机"",""智能设备（智能可穿戴设备、智能机器人、智能家居等）""]",平均1-2年购买1部手机,"[""品牌"",""操作系统"",""外观/造型""]",未婚,,,猫,"1,000元以下","10,001-30,000元",,"[""服饰消费"",""智能产品消费、电子产品消费"",""餐饮消费""]","[""逛商场、购物"",""电影、连续剧"",""看展、逛市集"",""健身、各类运动"",""朋友聚会、咖啡吧、酒吧、live house等""]",1-5次,"3,000元以下",性价比高,"[""拼多多"",""淘宝/天猫"",""京东""]",否,iOS,507
女,重庆,00后（2000年以后出生）,大学本科,否,"[""none""]",否,学生,,,没有汽车,,,,暂时无购车计划,比较愿意尝试,特斯拉,"10,000元及以下",很少,经济舱,"[""三星级/舒适型"",""四星级/高档型""]",800元以下/晚,"[""鞋""]","[""自用""]",,,5件以上,"[""实用"",""品牌""]","[""卡地亚CARTIER""]","[""天梭TISSOT""]",,不确定,,"[""迪奥Dior"",""兰蔻Lancome"",""SK-II"",""圣罗兰YSL"",""雅诗兰黛Estee Lauder""]","[""手机""]",平均3年以上购买1部手机,"[""品牌""]",未婚,,,无,,,,"[""智能产品消费、电子产品消费"",""服饰消费"",""旅游消费""]","[""朋友聚会、咖啡吧、酒吧、live house等""]",1-5次,"3,000元以下",质量品质,"[""淘宝/天猫""]",是,iOS,266
男,天津,80后（80-84年出生）,大学本科,否,"[""none""]",是,企业中层管理人员,汽车及汽车后市场,战略/企划,有2辆及以上汽车,"[""普通轿车（两厢、三厢）"",""SUV（比如途观、奔驰GLK等）""]","[""凯迪拉克"",""大众""]",20-50万元,,不愿意尝试,,"30,001-50,000元",1-2次,经济舱,"[""五星级/豪华型""]","801-1,500元/晚","[""服饰""]","[""自用""]",,,2件,"[""折扣/优惠"",""款式/颜色"",""品牌""]","[""欧米茄OMEGA""]","[""宝玑BREGUET""]",,不打算购买,,"[""none""]","[""手机""]",平均1-2年购买1部手机,"[""品牌"",""操作系统""]",已婚,有一个孩子,"[""幼儿园（3-6周岁）""]",无,,"10,001-30,000元","50,001-10,0000元","[""育儿消费"",""旅游消费"",""日用品消费""]","[""郊游/周边游"",""电影、连续剧"",""话剧、戏剧、脱口秀等"",""玩游戏"",""读书""]",10次以上,"5,000～10,000元",质量品质,"[""淘宝/天猫"",""京东""]",否,iOS,350
女,浙江,95后（95-99年出生）,大学本科,是,"[""在国内申请研究生""]",是,学生,,,没有汽车,,,,暂时无购车计划,非常愿意尝试,特斯拉,"10,000元及以下",很少,经济舱,"[""三星级/舒适型""]",800元以下/晚,"[""包""]","[""自用""]",,,2件,"[""折扣/优惠"",""品牌"",""款式/颜色""]","[""梵克雅宝VANCLEEF&ARPELS"",""欧米茄OMEGA"",""宝格丽BVLGARI"",""卡地亚CARTIER"",""香奈儿CHANEL""]","[""天梭TISSOT"",""宝格丽BVLGARI"",""欧米茄OMEGA"",""香奈儿CHANEL""]",,1-2年,1万元以下,"[""欧莱雅"",""ISPA"",""SK-II"",""迪奥Dior"",""肌肤之钥CPB"",""兰蔻Lancome"",""香奈儿CHANEL"",""汤姆福特TOM FORD"",""植村秀"",""雅诗兰黛Estee Lauder"",""Pola""]","[""摄影摄像（数码相机、单反相机、摄像机等）""]",平均3年以上购买1部手机,"[""性能/配置"",""外观/造型"",""操作系统"",""价格"",""口碑"",""功能"",""售后服务"",""质量/耐用""]",未婚,,,猫,"1,000元以下",,,"[""日用品消费"",""服饰消费"",""智能产品消费、电子产品消费""]","[""郊游/周边游"",""电影、连续剧"",""朋友聚会、咖啡吧、酒吧、live house等""]",6-10次,"3,000元以下",质量品质,"[""得物"",""拼多多"",""京东"",""唯品会"",""淘宝/天猫"",""小红书""]",是,iOS,222
男,广东,80后（80-84年出生）,大学专科,否,"[""none""]",否,政府机关/公务员/事业单位,,,有1辆汽车,"[""普通轿车（两厢、三厢）""]","[""奥迪""]",20-50万元,,不愿意尝试,,"30,001-50,000元",1-2次,经济舱,"[""三星级/舒适型""]",800元以下/晚,"[""机械腕表"",""鞋"",""服饰""]","[""自用""]",3-4块,,3-4件,"[""品牌""]","[""帝舵TUDOR""]","[""帝舵TUDOR""]",5万-10万元,不确定,,"[""雅诗兰黛Estee Lauder"",""纪梵希Givenchy""]","[""智能设备（智能可穿戴设备、智能机器人、智能家居等）""]",平均1-2年购买1部手机,"[""品牌""]",已婚,有一个孩子,"[""小学""]",猫,"1,000元以下",,"50,001-10,0000元","[""日用品消费"",""智能产品消费、电子产品消费"",""育儿消费""]","[""郊游/周边游"",""兴趣养成或技能提升类的活动/课程""]",10次以上,"3,000～5,000元",质量品质,"[""京东""]",否,iOS,279
女,河南,00后（2000年以后出生）,大学本科,否,"[""在亚太地区申请研究生"",""在国内申请研究生""]",否,学生,,,没有汽车,,,,暂时无购车计划,比较愿意尝试,比亚迪,"10,000元及以下",1-2次,经济舱,"[""三星级/舒适型""]",800元以下/晚,"[""鞋""]","[""自用""]",,,2件,"[""实用"",""质量"",""品牌""]","[""浪琴LONGINES"",""百达翡丽PATEK PHILIPPE"",""江诗丹顿VACHERON CONSTANTIN"",""劳力士ROLEX"",""万宝龙MONTBLANC""]","[""浪琴LONGINES""]",,不确定,,"[""none""]","[""电脑整机（笔记本、一体机、平板电脑等）""]",平均3年以上购买1部手机,"[""性能/配置"",""外观/造型"",""质量/耐用""]",不方便透露,,,无,,,,"[""日用品消费"",""学习消费"",""餐饮消费""]","[""逛商场、购物"",""玩游戏"",""郊游/周边游""]",1-5次,"3,000元以下",性价比高,"[""淘宝/天猫"",""唯品会"",""得物""]",否,android,278
女,广东,95后（95-99年出生）,硕士/MBA,否,"[""在国内接受职业技能培训或考取职业资格证""]",是,企业职员,物流/运输业,运营,没有汽车,,,,暂时无购车计划,非常愿意尝试,特斯拉,"10,001-30,000元",1-2次,经济舱,"[""三星级/舒适型"",""民宿/公寓""]",800元以下/晚,"[""机械腕表""]","[""自用""]",1块,,,"[""款式/颜色"",""品牌"",""质量"",""价格"",""保值/收藏价值""]","[""浪琴LONGINES"",""百达翡丽PATEK PHILIPPE""]","[""other"",""TISSION""]",1万元以下,不确定,,"[""ISPA"",""香奈儿CHANEL"",""雅诗兰黛Estee Lauder"",""黛珂DECORTE"",""Bobbi Brown"",""迪奥Dior"",""资生堂""]","[""手机"",""摄影摄像（数码相机、单反相机、摄像机等）""]",平均2-3年购买1部手机,"[""品牌"",""性能/配置"",""操作系统"",""外观/造型"",""售后服务""]",未婚,,,无,,none,,"[""服饰消费"",""餐饮消费"",""兴趣消费""]","[""郊游/周边游"",""兴趣养成或技能提升类的活动/课程"",""电影、连续剧"",""看展、逛市集"",""读书"",""逛商场、购物""]",10次以上,"3,000元以下",质量品质,"[""淘宝/天猫"",""京东""]",是,iOS,327
女,福建,90后（90-94年出生）,大学本科,否,"[""none""]",是,企业职员,房地产/建筑业,开发报建,有1辆汽车,"[""SUV（比如途观、奔驰GLK等）""]","[""其他国产品牌""]",20万元以下,,比较愿意尝试,比亚迪,"10,000元及以下",1-2次,经济舱,"[""民宿/公寓""]",800元以下/晚,"[""包""]","[""自用""]",,,2件,"[""保值/收藏价值"",""款式/颜色"",""朋友推荐"",""实用"",""质量""]","[""浪琴LONGINES"",""香奈儿CHANEL"",""天梭TISSOT""]","[""香奈儿CHANEL""]",,不打算购买,,"[""资生堂"",""雅诗兰黛Estee Lauder"",""欧莱雅"",""圣罗兰YSL"",""兰蔻Lancome"",""迪奥Dior"",""娇韵诗""]","[""手机"",""电脑整机（笔记本、一体机、平板电脑等）""]",平均2-3年购买1部手机,"[""品牌"",""性能/配置"",""外观/造型"",""操作系统"",""质量/耐用"",""价格"",""售后服务""]",已婚,无子女,,无,,"10,001-30,000元","150,001-200,000元","[""服饰消费"",""餐饮消费"",""日用品消费""]","[""兴趣养成或技能提升类的活动/课程"",""电影、连续剧""]",6-10次,"3,000元以下",性价比高,"[""小红书"",""淘宝/天猫"",""京东"",""拼多多""]",是,iOS,356
女,北京,90后（90-94年出生）,硕士/MBA,是,"[""none""]",是,企业中层管理人员,计算机/互联网/电子,运营,有1辆汽车,"[""城市旅行车""]","[""大众""]",20-50万元,,非常愿意尝试,特斯拉,"30,001-50,000元",1-2次,经济舱,"[""五星级/豪华型""]","801-1,500元/晚","[""包"",""机械腕表""]","[""自用""]",1块,,2件,"[""品牌"",""质量"",""款式/颜色""]","[""劳力士ROLEX"",""万国IWC"",""积家JAEGER-LECOULTRE""]","[""浪琴LONGINES""]",1-3万元,1年以内,1万-3万元,"[""兰蔻Lancome"",""雅诗兰黛Estee Lauder"",""ISPA"",""迪奥Dior"",""汤姆福特TOM FORD"",""娇韵诗"",""SK-II"",""圣罗兰YSL"",""娇兰""]","[""手机""]",平均1年以内购买1部手机,"[""性能/配置"",""品牌""]",未婚,,,猫,"1,000元以下","200,000元以上",,"[""娱乐消费"",""旅游消费"",""日用品消费""]","[""郊游/周边游"",""电影、连续剧"",""朋友聚会、咖啡吧、酒吧、live house等"",""健身、各类运动""]",6-10次,"3,000～5,000元",性价比高,"[""京东"",""淘宝/天猫""]",否,iOS,251
女,北京,95后（95-99年出生）,大学专科,否,"[""到欧美地区申请研究生""]",否,企业职员,教育/科研/培训机构,设计,没有汽车,,,,暂时无购车计划,比较愿意尝试,特斯拉,"10,000元及以下",很少,经济舱,"[""民宿/公寓"",""三星级/舒适型""]",800元以下/晚,"[""none""]",,,,,,"[""欧米茄OMEGA""]",,,不确定,,"[""兰蔻Lancome"",""资生堂"",""乔治阿玛尼Giorgio Armani"",""Bobbi Brown"",""欧莱雅"",""汤姆福特TOM FORD"",""圣罗兰YSL"",""黛珂DECORTE"",""娇兰"",""雅诗兰黛Estee Lauder""]","[""手机"",""摄影摄像（数码相机、单反相机、摄像机等）"",""电脑整机（笔记本、一体机、平板电脑等）""]",平均2-3年购买1部手机,"[""品牌"",""外观/造型""]",未婚,,,猫,"1,000元以下","10,001-30,000元",,"[""服饰消费"",""餐饮消费"",""智能产品消费、电子产品消费""]","[""电影、连续剧"",""逛商场、购物"",""看展、逛市集"",""郊游/周边游""]",6-10次,"3,000元以下",质量品质,"[""京东"",""小红书"",""拼多多"",""淘宝/天猫"",""考拉海购""]",否,iOS,360
男,四川,00后（2000年以后出生）,大学专科,否,"[""在国内接受职业技能培训或考取职业资格证""]",是,学生,,,没有汽车,,,,暂时无购车计划,非常愿意尝试,特斯拉,"10,000元及以下",很少,经济舱,"[""民宿/公寓""]",800元以下/晚,"[""鞋"",""服饰"",""机械腕表""]","[""自用""]",1块,,5件以上,"[""价格"",""款式/颜色"",""质量"",""保值/收藏价值""]","[""百达翡丽PATEK PHILIPPE"",""欧米茄OMEGA"",""宝格丽BVLGARI""]","[""other"",""apple watch""]",1万元以下,不确定,,"[""欧莱雅"",""资生堂""]","[""智能设备（智能可穿戴设备、智能机器人、智能家居等）"",""电脑整机（笔记本、一体机、平板电脑等）"",""手机""]",平均1年以内购买1部手机,"[""品牌"",""性能/配置"",""外观/造型"",""操作系统"",""价格""]",未婚,,,无,,,,"[""服饰消费"",""餐饮消费"",""智能产品消费、电子产品消费""]","[""电影、连续剧"",""健身、各类运动"",""读书""]",6-10次,"3,000元以下",外观颜值,"[""京东"",""小红书"",""淘宝/天猫""]",否,iOS,298
男,北京,85后（85-89年出生）,大学本科,否,"[""在国内接受职业技能培训或考取职业资格证""]",是,企业中层管理人员,健康/医疗服务,销售,有2辆及以上汽车,"[""MPV（比别克GL8等）"",""普通轿车（两厢、三厢）"",""SUV（比如途观、奔驰GLK等）""]","[""福特"",""奥迪"",""别克""]",20-50万元,,非常愿意尝试,蔚来,"30,001-50,000元",1-2次,经济舱,"[""四星级/高档型"",""五星级/豪华型""]","801-1,500元/晚","[""机械腕表"",""珠宝"",""包"",""鞋"",""服饰""]","[""自用""]",2块,5件以上,5件以上,"[""款式/颜色"",""实用""]","[""积家JAEGER-LECOULTRE"",""宇舶HUBLOT"",""百达翡丽PATEK PHILIPPE"",""江诗丹顿VACHERON CONSTANTIN"",""伯爵PIAGET"",""欧米茄OMEGA""]","[""积家JAEGER-LECOULTRE"",""欧米茄OMEGA""]",5万-10万元,1-2年,5万-10万元,"[""香奈儿CHANEL""]","[""手机"",""电脑整机（笔记本、一体机、平板电脑等）""]",平均1-2年购买1部手机,"[""品牌"",""性能/配置"",""外观/造型"",""操作系统""]",已婚,有一个孩子,"[""幼儿园（3-6周岁）""]",无,,"200,000元以上","300,000元以上","[""育儿消费"",""兴趣消费"",""日用品消费""]","[""兴趣养成或技能提升类的活动/课程"",""电影、连续剧""]",10次以上,"3,000～5,000元",性价比高,"[""京东""]",否,iOS,298
男,山西,95后（95-99年出生）,大学本科,否,"[""none""]",否,企业中层管理人员,房地产/建筑业,技术/研发,没有汽车,,,,会增购或新购（增购即保留现有车辆再购买一辆）,非常愿意尝试,比亚迪,"80,001-100,000元",很少,经济舱,"[""四星级/高档型"",""五星级/豪华型""]",800元以下/晚,"[""鞋""]","[""自用""]",,,5件以上,"[""明星同款/推荐"",""折扣/优惠"",""质量""]","[""浪琴LONGINES""]","[""江诗丹顿VACHERON CONSTANTIN"",""浪琴LONGINES"",""欧米茄OMEGA""]",,1年以内,3万-5万元,"[""Pola"",""馥蕾诗fresh"",""Sisley""]","[""电脑整机（笔记本、一体机、平板电脑等）""]",平均1年以内购买1部手机,"[""品牌"",""性能/配置""]",未婚,,,无,,"10,001-30,000元",,"[""娱乐消费"",""智能产品消费、电子产品消费"",""服饰消费""]","[""朋友聚会、咖啡吧、酒吧、live house等"",""健身、各类运动"",""兴趣养成或技能提升类的活动/课程""]",6-10次,"3,000元以下",实用性强,"[""京东"",""亚马逊"",""得物""]",否,iOS,257
女,云南,00后（2000年以后出生）,大学本科,否,"[""在国内申请研究生""]",是,学生,,,没有汽车,,,,暂时无购车计划,非常愿意尝试,蔚来,"10,000元及以下",很少,经济舱,"[""四星级/高档型"",""三星级/舒适型""]",800元以下/晚,"[""机械腕表""]","[""自用""]",1块,,,"[""价格"",""品牌"",""质量""]","[""百达翡丽PATEK PHILIPPE"",""宝珀BLANCPAIN""]","[""天梭TISSOT""]",1万元以下,3年以上,1万-3万元,"[""娇韵诗"",""迪奥Dior"",""兰蔻Lancome"",""欧莱雅""]","[""智能设备（智能可穿戴设备、智能机器人、智能家居等）""]",平均3年以上购买1部手机,"[""品牌"",""性能/配置"",""操作系统"",""质量/耐用"",""价格""]",未婚,,,无,,,,"[""兴趣消费"",""餐饮消费"",""日用品消费""]","[""郊游/周边游"",""读书"",""朋友聚会、咖啡吧、酒吧、live house等"",""逛商场、购物""]",1-5次,"3,000元以下",实用性强,"[""淘宝/天猫""]",否,iOS,170
女,广东,90后（90-94年出生）,大学专科,否,"[""none""]",否,自由职业者,计算机/互联网/电子,,没有汽车,,,,暂时无购车计划,不愿意尝试,,"10,000元及以下",很少,经济舱,"[""经济型/快捷型连锁""]",800元以下/晚,"[""none""]",,,,,,"[""欧米茄OMEGA"",""伯爵PIAGET""]",,,不确定,,"[""雅诗兰黛Estee Lauder"",""香奈儿CHANEL"",""欧莱雅"",""兰蔻Lancome"",""乔治阿玛尼Giorgio Armani"",""迪奥Dior""]","[""手机""]",平均3年以上购买1部手机,"[""外观/造型"",""性能/配置"",""质量/耐用"",""操作系统"",""品牌"",""售后服务""]",未婚,,,无,,"10,000元以下",,"[""日用品消费"",""餐饮消费"",""服饰消费""]","[""读书"",""玩游戏""]",6-10次,"3,000元以下",实用性强,"[""淘宝/天猫""]",否,iOS,206
男,重庆,95后（95-99年出生）,大学本科,否,"[""none""]",是,学生,,,没有汽车,,,,暂时无购车计划,非常愿意尝试,蔚来,"10,000元及以下",很少,经济舱,"[""民宿/公寓""]",800元以下/晚,"[""鞋""]","[""自用""]",,,3-4件,"[""保值/收藏价值"",""款式/颜色"",""实用"",""折扣/优惠"",""质量"",""品牌"",""定制/限量"",""价格""]",,,,不打算购买,,"[""圣罗兰YSL"",""乔治阿玛尼Giorgio Armani"",""迪奥Dior"",""香奈儿CHANEL"",""纪梵希Givenchy""]","[""手机"",""智能设备（智能可穿戴设备、智能机器人、智能家居等）"",""电脑整机（笔记本、一体机、平板电脑等）"",""游戏机""]",平均1-2年购买1部手机,"[""品牌"",""性能/配置"",""外观/造型"",""操作系统"",""价格"",""功能"",""口碑"",""售后服务"",""质量/耐用""]",未婚,,,无,,,,"[""智能产品消费、电子产品消费"",""餐饮消费"",""日用品消费""]","[""逛商场、购物"",""玩游戏"",""电影、连续剧""]",6-10次,"3,000元以下",理念价值观,"[""拼多多"",""京东"",""淘宝/天猫""]",是,iOS,124
男,河南,00后（2000年以后出生）,高中及以下,否,"[""none""]",否,学生,,,没有汽车,,,,暂时无购车计划,比较愿意尝试,理想ONE,"10,000元及以下",很少,经济舱,"[""民宿/公寓"",""经济型/快捷型连锁""]",800元以下/晚,"[""none""]",,,,,,"[""宝珀BLANCPAIN"",""劳力士ROLEX"",""天梭TISSOT"",""宝玑BREGUET"",""浪琴LONGINES"",""江诗丹顿VACHERON CONSTANTIN"",""香奈儿CHANEL"",""宝格丽BVLGARI""]",,,不打算购买,,"[""资生堂""]","[""手机"",""学习设备""]",平均2-3年购买1部手机,"[""性能/配置"",""操作系统"",""质量/耐用"",""品牌""]",未婚,,,无,,,,"[""学习消费"",""餐饮消费"",""其他""]","[""玩游戏""]",1-5次,"3,000元以下",实用性强,"[""拼多多"",""京东"",""淘宝/天猫""]",是,iOS,283
男,广东,90后（90-94年出生）,大学本科,是,"[""在国内申请研究生""]",是,企业职员,房地产/建筑业,运营,没有汽车,,,,会增购或新购（增购即保留现有车辆再购买一辆）,非常愿意尝试,小米,"10,001-30,000元",1-2次,经济舱,"[""民宿/公寓""]","801-1,500元/晚","[""鞋"",""服饰""]","[""自用""]",,,3-4件,"[""朋友推荐""]","[""万宝龙MONTBLANC""]","[""other"",""无""]",,1-2年,1万-3万元,"[""欧莱雅"",""纪梵希Givenchy"",""资生堂"",""SK-II"",""娇韵诗"",""兰蔻Lancome"",""雅诗兰黛Estee Lauder"",""圣罗兰YSL""]","[""电脑整机（笔记本、一体机、平板电脑等）""]",平均1-2年购买1部手机,"[""外观/造型""]",未婚,,,猫,"1,000元以下","10,001-30,000元",,"[""餐饮消费"",""服饰消费"",""学习消费""]","[""读书"",""玩游戏"",""电影、连续剧""]",1-5次,"3,000元以下",性价比高,"[""小红书"",""拼多多"",""淘宝/天猫"",""京东""]",是,iOS,257
